id	rate
40007	0
40009	18
40011	1
40015	18
40019	13
40021	73
40023	16
40025	0
40029	3
40035	4
40039	5
40041	37
40043	2
40045	4
40049	40
40053	0
40057	0
40059	0
40061	9
40063	8
40065	13
40067	1
40069	9
40071	34
40073	1
40075	1
40077	8
40085	3
40093	3
40095	18
40097	20
40089	21
40091	42
40099	9
40101	60
40103	3
40105	2
40107	18
40119	33
40121	34
40123	18
40125	50
40127	2
40129	8
40133	15
40137	7
40139	7
40141	3
40149	15
40151	4
40153	12
41003	23
41005	177
41009	14
41017	58
41033	29
41039	266
41043	17
41047	22
41051	79
41053	35
41067	179
41071	22
41001	2
41007	8
41011	14
41013	43
41025	5
41027	11
41031	23
41049	26
41057	9
41059	36
41061	9
41065	22
41069	2
42003	8
42011	3
42013	0
42017	0
42019	0
42041	1
42049	0
42055	0
42071	2
42081	0
42085	5
42091	0
42095	0
42103	0
42125	0
42131	0
42133	7
42009	0
42031	0
42047	0
42059	0
42063	0
42065	4
42073	0
42107	1
42109	0
42117	0
42119	0
42123	0
42127	0
45003	399
45007	745
45013	292
45015	329
45017	23
45023	126
45031	167
45039	130
45041	205
45045	1315
45051	5
45051	652
45053	18
45057	195
45059	115
45063	360
45077	222
45079	1496
45081	38
45083	571
45085	309
45087	94
45091	274
45001	33
45009	22
45011	67
45021	75
45025	116
45027	61
45029	172
45033	112
45043	117
45047	125
45049	40
45061	54
45067	103
45069	96
45065	18
45071	35
45073	100
45089	102
46033	3
46083	12
46087	3
46093	17
46099	36
46103	60
46125	10
46127	7
46003	0
46005	4
46007	3
46009	1
46011	6
46013	8
46019	1
46021	1
46023	4
46025	1
46027	8
46029	7
46031	0
46035	1
46039	1
46041	0
46043	2
46045	2
46049	0
46057	5
46063	2
46065	6
46067	0
46073	0
46081	6
46091	4
46089	0
46097	0
46101	4
46113	0
46107	0
46109	10
46111	6
46115	1
46117	3
46119	1
46123	0
46129	2
46135	12
46137	0
47001	91
47009	362
47011	181
47013	82
47015	14
47019	50
47021	67
47023	17
47033	25
47043	98
47047	51
47057	38
47063	99
47065	226
47169	37
47073	64
47081	73
47089	62
47093	588
47105	75
47111	51
47113	119
47115	51
47119	106
47125	102
47129	40
47139	32
47145	50
47147	55
47149	234
47153	38
47157	456
47159	25
47163	259
47165	86
47167	131
47171	27
47173	27
47179	143
47187	57
47189	103
47003	68
47005	6
47007	15
47017	35
47025	42
47027	16
47029	127
47031	65
47035	47
47039	18
47041	24
47045	36
47049	15
47051	48
